Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Moisture,Standard Deviation Moisture,Min Moisture,Max Moisture,Residual Moisture,Leverage Moisture,Ref Moisture,TW,Ref TW,Oil0%,Standard Deviation Oil0%,Min Oil0%,Max Oil0%,Residual Oil0%,Leverage Oil0%,Ref Oil0%
11/15/2024 3:20:03 PM,Rapeseed I,60073681 RA,Normal,CE161_GP_2024_SC_Gr,,Infratec,91915904,5.14,0.445,4.035,5.742,0,0,,,,49.39,0.562,47.975,49.847,0,0,
11/15/2024 4:00:53 PM,Rapeseed I,60073681 RA,Normal,CE184_GP_2024_SC_Gr,,Infratec,91915904,4.94,0.298,4.258,5.3,0,0,,,,50.31,0.442,49.625,50.94,0,0,
11/15/2024 4:02:37 PM,Rapeseed I,60073681 RA,Normal,CE183_GP_2024_SC_Gr,,Infratec,91915904,5.19,0.175,4.911,5.447,0,0,,,,46.32,0.671,45.264,47.38,0,0,
11/15/2024 4:33:35 PM,Rapeseed I,60073681 RA,Normal,CE101_GP_2024_SC_Gr,,Infratec,91915904,5.17,0.291,4.598,5.454,0,0,,,,50.47,0.744,49.047,51.451,0,0,
11/15/2024 4:35:17 PM,Rapeseed I,60073681 RA,Normal,CE158_GP_2024_SC_Gr,,Infratec,91915904,4.64,0.113,4.415,4.79,0,0,,,,46.94,0.954,45.657,48.841,0,0,
11/19/2024 11:06:10 AM,Rapeseed I,60073681 RA,Normal,CE197_GP_2024_SC_Gr,,Infratec,91915904,5.01,0.094,4.814,5.172,0,0,,,,48.42,0.832,46.848,49.438,0,0,
11/19/2024 11:12:53 AM,Rapeseed I,60073681 RA,Normal,CE139_GP_2024_SC_Gr,,Infratec,91915904,6.01,0.131,5.839,6.228,0,0,,,,41.36,0.54,40.714,42.486,0,0,
11/19/2024 11:17:25 AM,Rapeseed I,60073681 RA,Normal,CE155_GP_2024_SC_Gr,,Infratec,91915904,5.77,0.606,4.542,6.485,0,0,,,,47.63,0.725,46.476,48.516,0,0,
11/19/2024 11:21:54 AM,Rapeseed I,60073681 RA,Normal,CE140_GP_2024_SC_Gr,,Infratec,91915904,5.66,0.268,5.349,6.257,0,0,,,,44.14,0.595,42.903,45.087,0,0,
11/19/2024 11:25:57 AM,Rapeseed I,60073681 RA,Normal,CE159_GP_2024_SC_Gr,,Infratec,91915904,6.13,0.293,5.618,6.568,0,0,,,,48.88,0.692,47.97,50.227,0,0,
11/19/2024 11:32:57 AM,Rapeseed I,60073681 RA,Normal,CE107_GP_2024_SC_Gr,,Infratec,91915904,6.46,0.388,6.103,7.218,0,0,,,,43.07,0.377,42.39,43.541,0,0,
11/19/2024 11:37:02 AM,Rapeseed I,60073681 RA,Normal,CE151_GP_2024_SC_Gr,,Infratec,91915904,6.28,0.243,6.018,6.832,0,0,,,,47.54,0.238,47.168,48.052,0,0,
11/19/2024 11:41:41 AM,Rapeseed I,60073681 RA,Normal,CE111_GP_2024_SC_Gr,,Infratec,91915904,6.12,0.169,5.869,6.337,0,0,,,,45.27,0.422,44.588,45.796,0,0,
11/19/2024 11:47:00 AM,Rapeseed I,60073681 RA,Normal,CE135_GP_2024_SC_Gr,,Infratec,91915904,6.17,0.586,4.936,6.806,0,0,,,,48.07,0.663,47.087,49.184,0,0,
11/19/2024 11:52:37 AM,Rapeseed I,60073681 RA,Normal,CE143_GP_2024_SC_Gr,,Infratec,91915904,5.8,0.173,5.569,6.093,0,0,,,,46.02,0.472,44.854,46.647,0,0,
11/19/2024 11:56:53 AM,Rapeseed I,60073681 RA,Normal,CE154_GP_2024_SC_Gr,,Infratec,91915904,6.29,0.159,6.055,6.516,0,0,,,,48.62,0.698,47.445,49.601,0,0,
