Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture
11/13/2023 9:26:36 AM,Field Peas II,60073677 PE,Normal,CE230_GP_2023_WP_Gr,,Infratec,91915904,21.93,0.00,0.00,10.02,0.00,0.00
11/13/2023 9:28:17 AM,Field Peas II,60073677 PE,Normal,CE239_GP_2023_WP_Gr,,Infratec,91915904,20.87,0.00,0.00,10.42,0.00,0.00
11/13/2023 11:43:07 AM,Field Peas II,60073677 PE,Normal,testing,,Infratec,91915904,,,,,,
11/13/2023 12:05:03 PM,Field Peas II,60073677 PE,Normal,CE227_GP_2023_WP_Gr,,Infratec,91915904,20.93,0.00,0.00,9.84,0.00,0.00
11/13/2023 12:08:06 PM,Field Peas II,60073677 PE,Normal,CE211_GP_2023_WP_Gr,,Infratec,91915904,23.18,0.00,0.00,10.55,0.00,0.00
11/13/2023 12:10:54 PM,Field Peas II,60073677 PE,Normal,CE216_GP_2023_WP_Gr,,Infratec,91915904,21.25,0.00,0.00,10.26,0.00,0.00
11/13/2023 12:12:34 PM,Field Peas II,60073677 PE,Normal,CE221_GP_2023_WP_Gr,,Infratec,91915904,20.83,0.00,0.00,10.37,0.00,0.00
11/13/2023 12:17:54 PM,Field Peas II,60073677 PE,Normal,CE215_GP_2023_WP_Gr,,Infratec,91915904,21.18,0.00,0.00,10.32,0.00,0.00
11/13/2023 12:19:30 PM,Field Peas II,60073677 PE,Normal,CE210_GP_2023_WP_Gr,,Infratec,91915904,22.56,0.00,0.00,10.80,0.00,0.00
11/13/2023 12:21:30 PM,Field Peas II,60073677 PE,Normal,CE229_GP_2023_WP_Gr,,Infratec,91915904,23.28,0.00,0.00,10.21,0.00,0.00
11/13/2023 12:23:15 PM,Field Peas II,60073677 PE,Normal,CE225_GP_2023_WP_Gr,,Infratec,91915904,21.52,0.00,0.00,10.52,0.00,0.00
11/13/2023 12:25:02 PM,Field Peas II,60073677 PE,Normal,CE223_GP_2023_WP_Gr,,Infratec,91915904,22.22,0.00,0.00,9.63,0.00,0.00
11/13/2023 12:27:16 PM,Field Peas II,60073677 PE,Normal,CE220_GP_2023_WP_Gr,,Infratec,91915904,22.02,0.00,0.00,9.27,0.00,0.00
11/13/2023 12:28:45 PM,Field Peas II,60073677 PE,Normal,CE222_GP_2023_WP_Gr,,Infratec,91915904,21.98,0.00,0.00,10.40,0.00,0.00
11/13/2023 12:30:59 PM,Field Peas II,60073677 PE,Normal,CE219_GP_2023_WP_Gr,,Infratec,91915904,21.88,0.00,0.00,10.31,0.00,0.00
11/13/2023 12:32:35 PM,Field Peas II,60073677 PE,Normal,CE217_GP_2023_WP_Gr,,Infratec,91915904,22.13,0.00,0.00,10.36,0.00,0.00
11/13/2023 12:34:23 PM,Field Peas II,60073677 PE,Normal,CE214_GP_2023_WP_Gr,,Infratec,91915904,21.22,0.00,0.00,10.90,0.00,0.00
11/13/2023 12:36:14 PM,Field Peas II,60073677 PE,Normal,CE218_GP_2023_WP_Gr,,Infratec,91915904,23.05,0.00,0.00,10.79,0.00,0.00
11/13/2023 12:38:13 PM,Field Peas II,60073677 PE,Normal,CE212_GP_2023_WP_Gr,,Infratec,91915904,24.38,0.00,0.00,10.60,0.00,0.00
