Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture,Starch0%,Leverage Starch0%,Residual Starch0%,Gluten0%,Leverage Gluten0%,Residual Gluten0%,Zeleny0%,Leverage Zeleny0%,Residual Zeleny0%,TW
11/6/2023 12:52:25 PM,Field Peas II,60073677 PE,Normal,CW430_GP_2023_WP_Gr,,Infratec,91915904,22.62,0.00,0.00,10.65,0.00,0.00,,,,,,,,,,
11/6/2023 12:54:36 PM,Field Peas II,60073677 PE,Normal,CW435_GP_2023_WP_Gr,,Infratec,91915904,21.58,0.00,0.00,10.30,0.00,0.00,,,,,,,,,,
11/6/2023 12:56:23 PM,Field Peas II,60073677 PE,Normal,CW432_GP_2023_WP_Gr,,Infratec,91915904,21.67,0.00,0.00,10.49,0.00,0.00,,,,,,,,,,
11/6/2023 12:58:15 PM,Field Peas II,60073677 PE,Normal,CW426_GP_2023_WP_Gr,,Infratec,91915904,22.26,0.00,0.00,10.38,0.00,0.00,,,,,,,,,,
11/6/2023 1:00:15 PM,Field Peas II,60073677 PE,Normal,CW439_GP_2023_WP_Gr,,Infratec,91915904,22.72,0.00,0.00,10.76,0.00,0.00,,,,,,,,,,
11/6/2023 1:01:50 PM,Field Peas II,60073677 PE,Normal,CW437_GP_2023_WP_Gr,,Infratec,91915904,21.48,0.00,0.00,10.15,0.00,0.00,,,,,,,,,,
11/6/2023 1:04:13 PM,Field Peas II,60073677 PE,Normal,CW429_GP_2023_WP_Gr,,Infratec,91915904,21.17,0.00,0.00,10.40,0.00,0.00,,,,,,,,,,
11/6/2023 1:06:17 PM,Field Peas II,60073677 PE,Normal,CW438_GP_2023_WP_Gr,,Infratec,91915904,22.93,0.00,0.00,11.04,0.00,0.00,,,,,,,,,,
11/6/2023 1:08:19 PM,Field Peas II,60073677 PE,Normal,CW434_GP_2023_WP_Gr,,Infratec,91915904,21.72,0.00,0.00,10.41,0.00,0.00,,,,,,,,,,
11/6/2023 2:05:05 PM,Wheat II,60073697 WH,Normal,6A_3_Lime_N_2023_SW_Gr,,Infratec,91915904,12.60,0.00,0.00,11.39,0.00,0.00,71.24,0.00,0.00,31.45,0.00,0.00,52.06,0.00,0.00,62.90
11/6/2023 2:06:56 PM,Wheat II,60073697 WH,Normal,6A_1_Lime_N_2023_SW_Gr,,Infratec,91915904,11.70,0.00,0.00,11.49,0.00,0.00,72.09,0.00,0.00,28.24,0.00,0.00,44.28,0.00,0.00,62.62
11/6/2023 2:08:37 PM,Wheat II,60073697 WH,Normal,6A_2_Lime_N_2023_SW_Gr,,Infratec,91915904,12.47,0.00,0.00,11.79,0.00,0.00,71.22,0.00,0.00,30.85,0.00,0.00,50.31,0.00,0.00,63.05
11/6/2023 2:10:18 PM,Wheat II,60073697 WH,Normal,6A_4_Lime_N_2023_SW_Gr,,Infratec,91915904,12.59,0.00,0.00,12.56,0.00,0.00,71.40,0.00,0.00,30.90,0.00,0.00,50.71,0.00,0.00,62.73
11/6/2023 2:27:12 PM,Wheat II,60073697 WH,Normal,6A_4_Lime_O_2023_SW_Gr,,Infratec,91915904,12.16,0.00,0.00,11.58,0.00,0.00,71.48,0.00,0.00,31.69,0.00,0.00,48.58,0.00,0.00,62.63
11/6/2023 2:29:19 PM,Wheat II,60073697 WH,Normal,6A_3_Lime_O_2023_SW_Gr,,Infratec,91915904,10.94,0.00,0.00,11.38,0.00,0.00,72.75,0.00,0.00,28.18,0.00,0.00,39.96,0.00,0.00,62.13
11/6/2023 2:31:37 PM,Wheat II,60073697 WH,Normal,6A_2_Lime_O_2023_SW_Gr,,Infratec,91915904,10.84,0.00,0.00,11.04,0.00,0.00,72.82,0.00,0.00,27.92,0.00,0.00,38.63,0.00,0.00,61.25
